"","scope 1 emissions","scope 2 emissions","total emissions","emissions quality flag","s1 lower bound","s1 upper bound","s1 mean","tot lower bound","tot upper bound","tot mean","co2 emissions per capita","latitude","longitude","region","population","city area km","average annual temperature celcius","gdp-ppp per capita","ngdp","ngdp per capita","energy per person co2","center of commerce index","urbanization ratio","mean one-way travel time","average diesel price","average gasoline price","household size","congestion rank","economy rank","environment rank","governance rank","human capital rank","international impact rank","mobility and transportation rank","public management rank","social cohesion rank","technology rank","urban planning rank","CIMI","CIMI Ranking","exports","production","natgas exports","C4H waste per capita","C4H waste plus natgas per capita","corrected C4H waste plus natgas per capita"
"26",3363195.27344,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.596385,40.65,109.833333333,"East Asia",2070801,2662,NA,NA,31,14783.0233667,NA,NA,NA,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",3595726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.38506,2.173403,"Europe",1604555,101.4,NA,36157,195,36011.08033241,2.3,50.9,76.701,NA,1.55,1.63,2.4,124,77,84,35,39,4,26,67,72,64,43,74.1,35,NA,NA,NA,NA,NA,NA
"28",3023515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.987778,-74.788889,"Latin America & Caribbean",1228271,161,NA,NA,0.0119178506126723,NA,NA,NA,NA,NA,1.04,1.08,NA,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",203441,87408,290849,"A",NA,NA,NA,NA,NA,NA,NA,38.667,-9.066667,"Europe",78764,36.39,16,NA,NA,NA,NA,NA,NA,21.07,1.64,1.89,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0.0311275785,0.0361368851,0.0361368851
"30",783932,321821,1105753,"B",739815.689868344,762689.58146849,751252.635668417,1061636.68986834,1084510.58146849,1073073.63566842,NA,47.567,7.6,"Europe",197000,37,12,44400,41.37498,53502.2215555544,NA,NA,NA,35.8,1.79,1.74,1.9,55,34,68,62,101,119,53,37,4,146,57,70.13,47,0,1,0,0.0038276228,0.007949217,0.007949217
"31",344419,107239,457288,"A",266204.760169571,272801.044054503,269502.902112037,379073.760169571,385670.044054503,382371.902112037,NA,13.83,121,"Southeast Asia",329874,282.96,25,NA,NA,NA,NA,NA,NA,NA,0.82,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0.0076935557,0.0084021612,0.0084021612
"32",75104879.0068,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56651863677,39.9166666667,116.383333333,"East Asia",18766000,1368,NA,NA,206.2,10952.3556594,9.3,42.52,42.522,NA,1.09,1.17,NA,NA,66,180,68,19,8,13,101,142,8,125,61.83,90,NA,NA,NA,NA,NA,NA
"33",2804787,436925,3241713,"A",1629066.1664196,1745280.46195121,1687173.31418541,2065992.1664196,2182206.46195121,2124099.31418541,NA,-19.917,-43.933333,"Latin America & Caribbean",2502557,330.9,21,15134,78.5,14496.7682363804,NA,NA,NA,34.4,1.02,1.27,3.70430469441984,69,169,146,145,96,138,117,137,134,156,132,44.98,153,1.17e+10,1.703e+10,0.69,0.0151203426,0.0204194776,0.0167788505
"34",NA,NA,688706,"D",NA,NA,NA,661294.11526928,675102.56266538,668198.33896733,NA,38.063,-122.156111,"North America",28174,33.4885707,21,NA,NA,NA,NA,NA,NA,31,0.97,0.86,2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"35",866087.529437,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.681290269103,41.3,123.766666667,"East Asia",1011377,907,NA,NA,9,8226.69104205,NA,NA,NA,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
